year,overflow_type,municipality,wet_dry_event,npdes,date_discovered,time_discovered,days,hours,minutes,location,pipe_manhole_id,zip_code,latitude,collection_system,quan_gals_gross,quan_gals_net,cause,health_dept_notified,how_heatlh_depart_was_notified,corrective_action,watershed,receiving_waters,county,comment,penalty_collected,penalty_collected_comments,long,watershed2,quan_gals_gross2,geometry
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,2/15/2018,8:11:00 PM,0,1,10,5807 Royal Oak Ave.,Manhole,21207,39.323833,City of Baltimore Dept. of Public Works,140,140,"Rags, roots, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 100 ft. of pressure hose.  Performed CCTV inspection.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.71045,Baltimore Harbor,140,"c(1394247.23440196, 603660.123224585)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,2/15/2018,12:06:00 PM,0,10,57,3028 Mosher St.,Manhole,21216,39.299553,City of Baltimore Dept. of Public Works,2754,2754,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.668726,Gwynns Falls,"2,754","c(1406083.02744099, 594856.690405973)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,2/22/2018,11:54:00 PM,0,10,36,5615 York Rd.,Clean out,21212,39.357951,City of Baltimore Dept. of Public Works,3180,3180,"Rags, grease.",,NA,"Relieved house connection choke with 45 ft. of electric cable, auger, and expander.  Performed CCTV inspection.",Jones Falls,,Baltimore City,NA,NA,NA,-76.609545,Jones Falls,"3,180","c(1422740.02673639, 616193.413853234)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/26/2018,11:18:00 PM,0,2,45,1823 Eutaw Pl.,Clean out,21217,39.308654,City of Baltimore Dept. of Public Works,330,330,"Rags, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,NA,NA,NA,-76.631287,Jones Falls,330,"c(1416664.72514486, 598212.180183084)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/27/2018,12:55:00 PM,0,11,35,1627 Ceddox St.,Pipe,21226,39.221003,City of Baltimore Dept. of Public Works,1042,1042,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Flushed and cleaned 8 inch mainline with 300 ft. of pressure hose.  Performed mainline CCTV inspection to determine possible structural damage.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.587142,Baltimore Harbor,"1,042","c(1429300.33989943, 566340.85252697)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/28/2018,4:30:00 PM,0,2,24,2574 W. Lafayette Ave.,Manhole,21216,39.298571,City of Baltimore Dept. of Public Works,288,288,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.658812,Gwynns Falls,288,"c(1408889.98799792, 594509.349058388)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/28/2018,7:28:00 AM,0,2,56,515 E. 38th St.,Clean out,21218,39.33514,City of Baltimore Dept. of Public Works,176,176,"Roots, trash/debris, sand, gravel, rocks.",,NA,Relieved house connection choke with 30 ft. of electric cable and auger.,Jones Falls,,Baltimore City,NA,NA,NA,-76.608987,Jones Falls,176,"c(1422933.39627463, 607885.509099663)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/5/2018,1:43:00 PM,0,1,41,W. Fairmount Ave. & N. Franklintown Rd.,Manhole,21223,39.288299,City of Baltimore Dept. of Public Works,101,101,"Rags, grease.",,NA,Flushed and cleaned 8 inch mainline with 200 ft. of pressure hose.  Confirmed mainline is clear.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.659326,Gwynns Falls,101,"c(1408758.48827304, 590767.429752096)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/5/2018,3:27:00 PM,0,4,55,503 N. Streeper St.,Clean out,21205,39.29729,City of Baltimore Dept. of Public Works,295,295,"Trash/debris, sand, gravel, rocks, pipe break.",,NA,Private plumber fixed issue on consumer side.  Flushed and cleaned 8 inch mainline.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.5771,Baltimore Harbor,295,"c(1432016.60395657, 594139.5476898)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,3/9/2018,8:48:00 AM,0,0,42,6308 Clearspring Rd.,Manhole,21212,39.369796,City of Baltimore Dept. of Public Works,210,210,Unknown.,,NA,Relieved mainline choke with 90 ft. of pressure hose.  Confirmed mainline is clear.,Back River,Chinquapin Run,Baltimore City,NA,NA,NA,-76.608574,Back River,210,"c(1422996.08975025, 620508.98498534)"
